2347641, 2020: Jersey is '2G'?

ACC
failure: Albert Jennings (2472093) | season: 2021 (15580) | school: Washington St. (754)
failure: Cody Dreis (2472094) | season: 2021 (15580) | school: Washington St. (754)
failure: Noah Stetcher (2472096) | season: 2021 (15580) | school: Washington St. (754)
failure: Jake Yogel (2472101) | season: 2021 (15580) | school: Washington St. (754)
failure: Cutter Buchea (2472103) | season: 2021 (15580) | school: Washington St. (754)
failure: Merek Sears (2472104) | season: 2021 (15580) | school: Washington St. (754)
failure: Jaden Bruno (2482588) | season: 2021 (15580) | school: Stanford (674)

SEC 
failure: Andrew Brown (1320693) | season: 2013 (11320) | school: Texas A&M (697)
failure: Parker Sanburn (1543790) | season: 2014 (11620) | school: Arkansas (31)
failure: Ryan Avidano (1643198) | season: 2015 (12080) | school: Georgia (257)
failure: Trevor Tinder (1755169) | season: 2016 (12360) | school: Georgia (257)
failure: Kevin Kopps (1758254) | season: 2016 (12360) | school: Arkansas (31)
failure: Caleb Gilbert (1769049) | season: 2016 (12360) | school: LSU (365)
failure: Garrett Milchin (1866421) | season: 2017 (12560) | school: Florida (235)
failure: Graham Lawson (1872255) | season: 2017 (12560) | school: South Carolina (648)
failure: Marshall Denton (1873217) | season: 2017 (12560) | school: Arkansas (31)
failure: Dylan Thompson (1873221) | season: 2017 (12560) | school: Arkansas (31)
failure: Harrison Heffley (1873225) | season: 2017 (12560) | school: Arkansas (31)
failure: Michael Sandborn (1879654) | season: 2017 (12560) | school: Vanderbilt (736)
failure: Denver Mcquary (1882023) | season: 2017 (12560) | school: Mississippi St. (430)
failure: Trey Jolly (1882027) | season: 2017 (12560) | school: Mississippi St. (430)
failure: Derek Ripp (1974477) | season: 2018 (12973) | school: Arkansas (31)
failure: Jacob Nesbit (1974481) | season: 2018 (12973) | school: Arkansas (31)
failure: Ryan Drake (1974483) | season: 2018 (12973) | school: Arkansas (31)
failure: Ben Mcclain (1974487) | season: 2018 (12973) | school: Arkansas (31)
failure: Brady Disher (1974490) | season: 2018 (12973) | school: Arkansas (31)
failure: Caleb Bolden (1974492) | season: 2018 (12973) | school: Arkansas (31)
failure: Ford Luttrell (1976417) | season: 2018 (12973) | school: Auburn (37)
failure: Ryan Hoerter (1976442) | season: 2018 (12973) | school: Auburn (37)
failure: Aaron Mcgeorge (1979082) | season: 2018 (12973) | school: Kentucky (334)
failure: Cole Taylor (1981831) | season: 2018 (12973) | school: Texas A&M (697)
failure: Michael Spears (1984680) | season: 2018 (12973) | school: Ole Miss (433)
failure: Colin Coates (1984683) | season: 2018 (12973) | school: Ole Miss (433)
failure: Felix Garcia (1985232) | season: 2018 (12973) | school: Florida (235)
failure: Nick Storz (1991446) | season: 2018 (12973) | school: LSU (365)
failure: Aj Labas (1991447) | season: 2018 (12973) | school: LSU (365)
failure: John Kodros (1991451) | season: 2018 (12973) | school: LSU (365)
failure: Brandon Nowak (1991452) | season: 2018 (12973) | school: LSU (365)
failure: Cade Bormet (1992941) | season: 2018 (12973) | school: Missouri (434)
failure: Julian Bosnic (2111262) | season: 2019 (14781) | school: South Carolina (648)
failure: Will Gambino (2114418) | season: 2019 (14781) | school: Kentucky (334)
failure: Kyle Music (2114422) | season: 2019 (14781) | school: Kentucky (334)
failure: Justin Olson (2114430) | season: 2019 (14781) | school: Kentucky (334)
failure: Brad Dobzanski (2114434) | season: 2019 (14781) | school: Kentucky (334)
failure: Jake Thompson (2114443) | season: 2019 (14781) | school: Kentucky (334)
failure: Zack Gregory (2117327) | season: 2019 (14781) | school: Arkansas (31)
failure: Andrew Stanley (2117358) | season: 2019 (14781) | school: Arkansas (31)
failure: Caleb Denny (2117371) | season: 2019 (14781) | school: Arkansas (31)
failure: Travis Hester (2117377) | season: 2019 (14781) | school: Arkansas (31)
failure: Steven Sanchez (2117378) | season: 2019 (14781) | school: Arkansas (31)
failure: Dillon Lifrieri (2117381) | season: 2019 (14781) | school: Arkansas (31)
failure: Will Barker (2117387) | season: 2019 (14781) | school: Arkansas (31)
failure: Nick Lommen (2119793) | season: 2019 (14781) | school: Missouri (434)
failure: Nick Swanson (2119805) | season: 2019 (14781) | school: Missouri (434)
failure: Ty Olejnik (2119806) | season: 2019 (14781) | school: Missouri (434)
failure: Patrick Dilullo (2119836) | season: 2019 (14781) | school: Texas A&M (697)
failure: Reed Spenrath (2119852) | season: 2019 (14781) | school: Texas A&M (697)
failure: Justin Ruble (2119857) | season: 2019 (14781) | school: Texas A&M (697)
failure: Landry Wideman (2119864) | season: 2019 (14781) | school: Texas A&M (697)
failure: Landon Green (2121004) | season: 2019 (14781) | school: Alabama (8)
failure: Logan Savell (2121590) | season: 2019 (14781) | school: Ole Miss (433)
failure: Jacob Steinberg (2121591) | season: 2019 (14781) | school: Ole Miss (433)
