,index,Year,Team,GP,AB,H,BA,OBPct,TB,SlgPct,R,2B,3B,HR,RBI,BB,HBP,SF,SH,K,DP,SB,CS,Picked,IBB,season_id,school_id,stats_player_seq,name,G,RBI2out,OPP DP
1762,1,2018-19,{'href': '/team/80/14781'},12,-,-,-,-,0,-,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,12973,80,1983969,Pat Petteruti,-,-,
1763,2,2019-20,{'href': '/team/80/15204'},3,-,-,-,-,0,-,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,12973,80,1983969,Pat Petteruti,-,-,
1764,0,2017-18,{'href': '/team/80/12973'},10,-,-,-,-,0,-,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,12973,80,1983986,Collin Garner,-,-,
1765,1,2018-19,{'href': '/team/80/14781'},12,1,-,0.000,0.000,0,0.000,-,0,0,0,-,-,-,-,-,1,-,-,-,-,-,12973,80,1983986,Collin Garner,-,-,
1766,2,2019-20,{'href': '/team/80/15204'},3,-,-,-,-,0,-,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,12973,80,1983986,Collin Garner,-,-,
1767,0,2017-18,{'href': '/team/80/12973'},37,125,33,0.264,0.326,48,0.384,21,3,3,2,20,5,7,1,6,37,1,6,1,-,-,12973,80,1983989,Joe Lomuscio,-,-,
1768,1,2018-19,{'href': '/team/80/14781'},39,174,59,0.339,0.385,84,0.483,32,9,2,4,26,6,7,-,1,47,1,2,4,-,-,12973,80,1983989,Joe Lomuscio,-,-,
1769,2,2019-20,{'href': '/team/80/15204'},12,47,13,0.277,0.382,19,0.404,6,3,0,1,5,5,3,-,-,13,1,6,1,-,1,12973,80,1983989,Joe Lomuscio,-,-,
1770,0,2017-18,{'href': '/team/80/12973'},2,-,-,-,-,0,-,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,12973,80,1983991,Ryan Fisch,-,-,
1771,1,2018-19,{'href': '/team/80/14781'},8,-,-,-,-,0,-,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,12973,80,1983991,Ryan Fisch,-,-,
1772,2,2019-20,{'href': '/team/80/15204'},4,-,-,-,-,0,-,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,12973,80,1983991,Ryan Fisch,-,-,
1773,0,2017-18,{'href': '/team/540/12973'},1,1,1,1.000,1.000,1,1.000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12973,540,1997309,Henry Fishman,-,-,
1774,1,2018-19,{'href': '/team/540/14781'},2,1,-,0.000,0.500,0,0.000,1,0,0,0,-,-,1,-,-,-,-,-,-,-,-,12973,540,1997309,Henry Fishman,-,-,
1775,0,2017-18,{'href': '/team/167/12973'},12,-,-,-,-,0,-,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,12973,167,1997324,Seth Urbon,-,-,
1776,1,2018-19,{'href': '/team/167/14781'},7,-,-,-,-,0,-,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,12973,167,1997324,Seth Urbon,-,-,
1777,2,2019-20,{'href': '/team/167/15204'},3,-,-,-,-,0,-,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,12973,167,1997324,Seth Urbon,-,-,
1778,3,2020-21,{'href': '/team/626/15580'},7,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12973,167,1997324,Seth Urbon,-,-,
1779,0,2017-18,{'href': '/team/167/12973'},2,-,-,-,-,0,-,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,12973,167,1997325,Nicholas Binnie,-,-,
1780,1,2018-19,{'href': '/team/167/14781'},34,105,27,0.257,0.316,32,0.305,13,5,0,0,7,8,1,-,3,26,2,6,-,-,-,12973,167,1997325,Nicholas Binnie,-,-,
1781,2,2019-20,{'href': '/team/167/15204'},5,14,4,0.286,0.267,7,0.500,3,0,0,1,3,-,-,1,-,2,-,-,-,-,-,12973,167,1997325,Nicholas Binnie,-,-,
1782,0,2018-19,{'href': '/team/167/14781'},7,14,1,0.071,0.188,2,0.143,2,1,0,0,-,2,-,-,-,7,-,-,-,-,-,12973,167,1997326,Dave Giuliano,-,-,
1783,0,2017-18,{'href': '/team/167/12973'},27,88,12,0.136,0.174,15,0.170,5,3,-,-,2,2,2,-,-,31,4,4,1,-,-,12973,167,1997328,Ramon Garza,-,-,
1784,1,2018-19,{'href': '/team/167/14781'},37,137,30,0.219,0.272,41,0.299,13,8,0,1,11,9,2,3,1,23,4,7,2,-,-,12973,167,1997328,Ramon Garza,-,-,
1785,2,2019-20,{'href': '/team/167/15204'},9,30,5,0.167,0.306,9,0.300,4,1,0,1,4,5,1,-,-,10,2,1,-,-,-,12973,167,1997328,Ramon Garza,-,-,
1786,3,2020-21,{'href': '/team/23121/15580'},42,177,61,0.345,0.425,95,0.537,49,7,-,9,51,19,10,6,-,11,3,2,-,-,-,12973,167,1997328,Ramon Garza,-,-,
1787,0,2017-18,{'href': '/team/167/12973'},24,66,13,0.197,0.321,18,0.273,8,2,0,1,11,10,3,2,2,24,2,2,1,-,-,12973,167,1997329,Jason Apostle,-,-,
1788,1,2018-19,{'href': '/team/167/14781'},28,73,17,0.233,0.333,23,0.315,6,4,1,0,3,8,3,-,4,24,1,3,1,-,-,12973,167,1997329,Jason Apostle,-,-,
1789,0,2017-18,{'href': '/team/167/12973'},16,-,-,-,-,0,-,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,12973,167,1997332,Andrew Ellison,-,-,
1790,1,2018-19,{'href': '/team/167/14781'},11,-,-,-,-,0,-,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,12973,167,1997332,Andrew Ellison,-,-,
1791,2,2019-20,{'href': '/team/167/15204'},3,-,-,-,-,0,-,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,12973,167,1997332,Andrew Ellison,-,-,
1792,0,2017-18,{'href': '/team/167/12973'},4,-,-,-,-,0,-,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,12973,167,1997345,Trevor Daniel Davis,-,-,
1793,1,2018-19,{'href': '/team/167/14781'},14,-,-,-,-,0,-,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,12973,167,1997345,Trevor Daniel Davis,-,-,
1794,2,2019-20,{'href': '/team/167/15204'},3,-,-,-,-,0,-,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,12973,167,1997345,Trevor Daniel Davis,-,-,
1795,0,2017-18,{'href': '/team/167/12973'},16,43,11,0.256,0.319,18,0.419,8,1,-,2,7,3,1,-,-,9,-,1,2,-,-,12973,167,1997347,Kalani Matton,-,-,
1796,1,2018-19,{'href': '/team/167/14781'},13,43,6,0.140,0.178,7,0.163,2,1,0,0,2,1,1,-,1,14,-,1,1,-,-,12973,167,1997347,Kalani Matton,-,-,
1797,2,2019-20,{'href': '/team/167/15204'},9,29,8,0.276,0.323,8,0.276,3,0,0,0,1,2,-,-,-,9,1,1,-,-,-,12973,167,1997347,Kalani Matton,-,-,
1798,0,2017-18,{'href': '/team/813/12973'},38,100,26,0.260,0.375,30,0.300,16,2,1,0,13,15,4,1,2,27,-,4,2,-,-,12973,813,1999856,Harry Hegeman,-,-,
1799,1,2018-19,{'href': '/team/813/14781'},26,82,21,0.256,0.347,28,0.341,17,1,3,0,15,11,1,1,7,20,-,8,2,-,-,12973,813,1999856,Harry Hegeman,-,-,
